Company_Name,Job Title,Location,Salary,Company_Rating,Job_Post_Age,Company_Size,Co_Founded_in,Company_Type,Industry,Sector,Revenue,Website,Data_Collected_on,Hourly,Min_Sal,Max_Sal,Average_Salary,State_Code,Age_of_Co,State_Name
FanDuel,Data Scientist,"New York, NY",$87K - $177K (Glassdoor est.),4.0,30d+,501 to 1000 Employees,2009.0,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),http://www.fanduel.com/,07-10-2021 22:34,0,87,177,132.0,NY,12.0,New York
Morgan Stanley,Data Scientist - Delta One Strats,"New York, NY",$82K - $172K (Glassdoor est.),4.0,30d+,10000+ Employees,1935.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.morganstanley.com/,07-10-2021 22:34,0,82,172,127.0,NY,86.0,New York
Spotify,"Data Scientist, User Fraud, Creation Platform","New York, NY",$83K - $175K (Glassdoor est.),4.1,12d,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.spotifyjobs.com/,07-10-2021 22:34,0,83,175,129.0,NY,15.0,New York
Spark Foundry,Media Data Scientist,"New York, NY",$69K - $135K (Glassdoor est.),3.5,24h,51 to 200 Employees,2017.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,http://www.sparkfoundryww.com/,07-10-2021 22:34,0,69,135,102.0,NY,4.0,New York
Spotify,,"New York, NY",$72K - $150K (Glassdoor est.),4.1,30d+,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.spotifyjobs.com/,07-10-2021 22:34,0,72,150,111.0,NY,15.0,New York
New York University,Research Scientist-Center for Data Science,"New York, NY",$54K - $110K (Glassdoor est.),4.3,30d+,10000+ Employees,1831.0,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),http://www.nyu.edu/about/working-at-nyu.html,07-10-2021 22:34,0,54,110,82.0,NY,190.0,New York
AT&T,Data Scientist,"New York, NY",$78K - $170K (Glassdoor est.),3.7,12d,10000+ Employees,1983.0,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),http://www.att.jobs/,07-10-2021 22:34,0,78,170,124.0,NY,38.0,New York
Etsy,"Data Scientist, Marketing Analytics","Brooklyn, NY",$100K - $150K (Glassdoor est.),4.5,1d,1001 to 5000 Employees,2005.0,Company - Public,Other Retail Stores,Retail,$1 to $2 billion (USD),http://www.etsy.com/,07-10-2021 22:34,0,100,150,125.0,NY,16.0,New York
Morgan Stanley,Sustainable Finance Geospatial Data Scientist,"New York, NY",$70K - $161K (Glassdoor est.),4.0,1d,10000+ Employees,1935.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.morganstanley.com/,07-10-2021 22:34,0,70,161,115.5,NY,86.0,New York
Square,Data Scientist,"New York, NY",$103K - $193K (Glassdoor est.),4.2,2d,5001 to 10000 Employees,2009.0,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),http://www.squareup.com/,07-10-2021 22:34,0,103,193,148.0,NY,12.0,New York
Citi,Data Scientist,"New York, NY",$88K - $166K (Glassdoor est.),3.9,5d,10000+ Employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.citigroup.com/,07-10-2021 22:34,0,88,166,127.0,NY,209.0,New York
WarnerMedia,Data Scientist I,"New York, NY",$91K - $169K (Glassdoor est.),3.9,30d+,10000+ Employees,2003.0,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),http://www.warnermediacareers.com/,07-10-2021 22:34,0,91,169,130.0,NY,18.0,New York
RELX,Data Scientist,"New York, NY",$79K - $157K (Glassdoor est.),3.0,30d+,1001 to 5000 Employees,1968.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$1 to $2 billion (USD),http://www.rxglobal.com/,07-10-2021 22:34,0,79,157,118.0,NY,53.0,New York
Spotify,"Associate Data Scientist, Ads","New York, NY",$80K - $146K (Glassdoor est.),4.1,30d+,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.spotifyjobs.com/,07-10-2021 22:34,0,80,146,113.0,NY,15.0,New York
NYC Health + Hospitals,Data Scientist,"New York, NY",$60K - $120K (Employer est.),3.6,22d,5001 to 10000 Employees,,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,http://www.nychealthandhospitals.org/,07-10-2021 22:34,0,60,120,90.0,NY,,New York
Bloomberg,Data Scientist,"New York, NY",$96K - $173K (Glassdoor est.),4.1,30d+,10000+ Employees,1981.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.bloomberg.com/,07-10-2021 22:34,0,96,173,134.5,NY,40.0,New York
Hearst Media Services,Data Scientist,"New York, NY",$89K - $164K (Glassdoor est.),3.7,1d,10000+ Employees,1887.0,Company - Private,Publishing,Media,$10+ billion (USD),http://www.hearst.com/,07-10-2021 22:34,0,89,164,126.5,NY,134.0,New York
Digitas,Data Scientist,"New York, NY",$81K - $162K (Glassdoor est.),3.8,30d+,5001 to 10000 Employees,1980.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,http://www.digitas.com/,07-10-2021 22:34,0,81,162,121.5,NY,41.0,New York
Amazon.com Services LLC,Data Scientist,"New York, NY",$92K - $175K (Glassdoor est.),3.8,6d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 22:34,0,92,175,133.5,NY,27.0,New York
Source Enterprises,Data Scientist,"New York, NY",$73K - $142K (Glassdoor est.),4.4,30d+,1 to 50 Employees,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,http://www.sourceenterprises.com/,07-10-2021 22:34,0,73,142,107.5,NY,,New York
IBM,Entry Level - Associate Data Scientist (Commercial),"New York, NY",$65K - $161K (Glassdoor est.),3.9,30d+,10000+ Employees,1911.0,Company - Public,IT Services,Information Technology,$10+ billion (USD),http://www.ibm.com/,07-10-2021 22:34,0,65,161,113.0,NY,110.0,New York
AllocateRite,Data Scientist,"New York, NY",$125K - $150K (Employer est.),4.7,14d,51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,http://www.allocaterite.com/,07-10-2021 22:34,0,125,150,137.5,NY,,New York
Luxoft,Data Scientist,"New York, NY",$75K - $131K (Glassdoor est.),4.3,30d+,10000+ Employees,2000.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,http://www.luxoft.com/,07-10-2021 22:34,0,75,131,103.0,NY,21.0,New York
TikTok,Data Scientist,"New York, NY",$98K - $194K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 22:34,0,98,194,146.0,NY,5.0,New York
Noom US,Data Scientist,"New York, NY",$72K - $145K (Glassdoor est.),4.1,30d+,1001 to 5000 Employees,2008.0,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,http://www.noom.com/,07-10-2021 22:34,0,72,145,108.5,NY,13.0,New York
TD Bank,Data Scientist II - Optimization (Remote),"New York, NY",$84K - $183K (Glassdoor est.),4.0,2d,10000+ Employees,1855.0,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),http://www.td.com/,07-10-2021 22:34,0,84,183,133.5,NY,166.0,New York
Capital One - US,"Senior Associate, Data Scientist","New York, NY",$92K - $147K (Glassdoor est.),4.1,24h,,,,,,,,07-10-2021 22:34,0,92,147,119.5,NY,,New York
Solytics Partners LLC,Data Scientist - Machine Learning,"New York, NY",$80K - $159K (Glassdoor est.),4.2,24h,51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,http://www.solytics-partners.com/,07-10-2021 22:34,0,80,159,119.5,NY,,New York
Facebook,"Data Scientist, Analytics (University Grad)","New York, NY",$93K - $198K (Glassdoor est.),4.3,30d+,10000+ Employees,2004.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.facebook.com/,07-10-2021 22:34,0,93,198,145.5,NY,17.0,New York
"Amazon Web Services, Inc.",Applied Scientist,"New York, NY",$82K - $168K (Glassdoor est.),3.8,24h,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 22:34,0,82,168,125.0,NY,27.0,New York
Spotify,"Data Scientist, Creation Platform","New York, NY",$90K - $182K (Glassdoor est.),4.1,30d+,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.spotifyjobs.com/,07-10-2021 22:34,0,90,182,136.0,NY,15.0,New York
Spotify,"Associate Data Scientist, Accounting","New York, NY",$70K - $128K (Glassdoor est.),4.1,27d,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.spotifyjobs.com/,07-10-2021 22:34,0,70,128,99.0,NY,15.0,New York
Oscar Health,Data Scientist,"New York, NY",$96K - $169K (Glassdoor est.),3.6,30d+,1001 to 5000 Employees,2012.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),http://www.hioscar.com/,07-10-2021 22:34,0,96,169,132.5,NY,9.0,New York
CVS Health,Data Scientist,"New York, NY",$78K - $145K (Glassdoor est.),3.0,24h,10000+ Employees,1963.0,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),http://jobs.cvshealth.com/,07-10-2021 22:34,0,78,145,111.5,NY,58.0,New York
Duolingo,"Senior Data Scientist, Engagement","New York, NY",$88K - $166K (Glassdoor est.),4.7,30d+,201 to 500 Employees,2011.0,Company - Public,Internet,Information Technology,$100 to $500 million (USD),http://www.duolingo.com/,07-10-2021 22:34,0,88,166,127.0,NY,10.0,New York
Spotify,"Data Scientist, Creator Business Analysis","New York, NY",$108K - $208K (Glassdoor est.),4.1,30d+,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.spotifyjobs.com/,07-10-2021 22:34,0,108,208,158.0,NY,15.0,New York
The New York Times,Data Scientist,"New York, NY",$87K - $162K (Glassdoor est.),4.1,30d+,1001 to 5000 Employees,1896.0,Company - Public,News Outlet,Media,$1 to $2 billion (USD),http://www.nytimes.com/,07-10-2021 22:34,0,87,162,124.5,NY,125.0,New York
Spotify,"Senior Data Scientist, Content Experiences","New York, NY",$100K - $202K (Glassdoor est.),4.1,26d,5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.spotifyjobs.com/,07-10-2021 22:34,0,100,202,151.0,NY,15.0,New York
Morgan Stanley,Data Scientist,"New York, NY",$95K - $189K (Glassdoor est.),4.0,23d,10000+ Employees,1935.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.morganstanley.com/,07-10-2021 22:34,0,95,189,142.0,NY,86.0,New York
"Amazon Dev Center U.S., Inc.",Data Scientist,"New York, NY",$92K - $175K (Glassdoor est.),3.8,30d+,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 22:34,0,92,175,133.5,NY,27.0,New York
New York University,Researcher (Research Data Scientist),"New York, NY",$53K - $102K (Glassdoor est.),4.3,1d,,,,,,,,07-10-2021 22:34,0,53,102,77.5,NY,,New York
Duolingo,"Senior Data Scientist, Forecasting","New York, NY",$73K - $139K (Glassdoor est.),4.7,30d+,201 to 500 Employees,2011.0,Company - Public,Internet,Information Technology,$100 to $500 million (USD),http://www.duolingo.com/,07-10-2021 22:34,0,73,139,106.0,NY,10.0,New York
ByteDance,Data Scientist,"New York, NY",$89K - $179K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 22:34,0,89,179,134.0,NY,9.0,New York
Munich Re America,Data Scientist,"New York, NY",$75K - $134K (Glassdoor est.),4.1,30d+,10000+ Employees,1880.0,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),http://www.munichre.com/,07-10-2021 22:34,0,75,134,104.5,NY,141.0,New York
Citi,Data scientist : US Consumer Merchant Offer Analytics,"New York, NY",$78K - $147K (Glassdoor est.),3.9,7d,10000+ Employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.citigroup.com/,07-10-2021 22:34,0,78,147,112.5,NY,209.0,New York
Peloton,"Data Scientist, Retention","New York, NY",$68K - $161K (Glassdoor est.),4.2,30d+,1001 to 5000 Employees,2012.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.onepeloton.com/,07-10-2021 22:34,0,68,161,114.5,NY,9.0,New York
Warner Music Group,Data Scientist,"New York, NY",$85K - $165K (Glassdoor est.),3.9,30d+,1001 to 5000 Employees,2003.0,Company - Public,Music Production & Distribution,Media,$2 to $5 billion (USD),http://www.wmg.com/,07-10-2021 22:34,0,85,165,125.0,NY,18.0,New York
Google,"Business Data Scientist, Google Customer Solutions","New York, NY",$94K - $210K (Glassdoor est.),4.5,30d+,10000+ Employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.google.com/,07-10-2021 22:34,0,94,210,152.0,NY,23.0,New York
Freemind Solutions,Data Scientist / BigData Engineer,"New York, NY",$70 - $75 Per Hour(Employer est.),,14d,Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.freemindsolutions.com/,07-10-2021 22:34,1,70,75,150.8,NY,,New York
AlphaSights Ltd.,Data Scientist,"New York, NY",$92K - $167K (Glassdoor est.),3.9,30d+,501 to 1000 Employees,2008.0,Company - Private,Consulting,Business Services,$100 to $500 million (USD),http://www.alphasights.com/,07-10-2021 22:34,0,92,167,129.5,NY,13.0,New York
The New York Times,Data Scientist (Algorithmic Targeting),"New York, NY",$60K - $137K (Glassdoor est.),4.1,30d+,1001 to 5000 Employees,1896.0,Company - Public,News Outlet,Media,$1 to $2 billion (USD),http://www.nytimes.com/,07-10-2021 22:34,0,60,137,98.5,NY,125.0,New York
TeePublic,Data Scientist,"New York, NY",$81K - $164K (Glassdoor est.),3.7,30d+,1 to 50 Employees,,Company - Private,Media & Entertainment Retail Stores,Retail,$1 to $5 million (USD),http://www.teepublic.com/,07-10-2021 22:34,0,81,164,122.5,NY,,New York
Morgan Stanley,Applied Data Scientist/Strategist,"New York, NY",$79K - $169K (Glassdoor est.),4.0,14d,10000+ Employees,1935.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.morganstanley.com/,07-10-2021 22:34,0,79,169,124.0,NY,86.0,New York
Facebook,AI Residency Program 2022 - US Locations,"New York, NY",$75K - $182K (Glassdoor est.),4.3,1d,10000+ Employees,2004.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.facebook.com/,07-10-2021 22:34,0,75,182,128.5,NY,17.0,New York
One Drop,Data Scientist,"New York, NY",$77K - $155K (Glassdoor est.),3.1,30d+,1 to 50 Employees,,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),http://www.onedrop.today/,07-10-2021 22:34,0,77,155,116.0,NY,,New York
Reonomy,Junior Data Scientist,"New York, NY",$74K - $139K (Glassdoor est.),3.9,6d,51 to 200 Employees,2013.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.reonomy.com/,07-10-2021 22:34,0,74,139,106.5,NY,8.0,New York
T. Rowe Price,2022 Associate Data Scientist,"New York, NY",$74K - $144K (Glassdoor est.),3.9,30d+,5001 to 10000 Employees,1937.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),http://www.troweprice.com/,07-10-2021 22:34,0,74,144,109.0,NY,84.0,New York
DataDog,Data Scientist,"New York, NY",$98K - $193K (Glassdoor est.),4.1,24h,1001 to 5000 Employees,2010.0,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),http://www.datadoghq.com/,07-10-2021 22:34,0,98,193,145.5,NY,11.0,New York
DataCamp,"Data Scientist - Analytics, Product","New York, NY",$76K - $160K (Glassdoor est.),4.3,30d+,51 to 200 Employees,2013.0,Company - Private,Education Training Services,Education,$5 to $10 million (USD),http://www.datacamp.com/,07-10-2021 22:34,0,76,160,118.0,NY,8.0,New York
Macy’s,"Senior, Data Scientist","New York, NY",$89K - $162K (Glassdoor est.),3.4,24h,10000+ Employees,1858.0,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),http://www.macysjobs.com/,07-10-2021 22:34,0,89,162,125.5,NY,163.0,New York
The New York Times,Data Scientist (Algorithmic Targeting),"New York, NY",$60K - $137K (Glassdoor est.),4.1,30d+,1001 to 5000 Employees,1896.0,Company - Public,News Outlet,Media,$1 to $2 billion (USD),http://www.nytimes.com/,07-10-2021 22:34,0,60,137,98.5,NY,125.0,New York
CKM Analytix,,"New York, NY",$100K - $180K (Employer est.),,8d,,,,,,,,07-10-2021 22:34,0,100,180,140.0,NY,,New York
Citi,Data scientist : US Consumer Merchant Offer Analytics,"New York, NY",$78K - $147K (Glassdoor est.),3.9,7d,10000+ Employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.citigroup.com/,07-10-2021 22:34,0,78,147,112.5,NY,209.0,New York
TikTok,"Data Scientist, Monetization Strategy & Analytics","New York, NY",$89K - $161K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 22:34,0,89,161,125.0,NY,5.0,New York
Amazon.com Services LLC,Data Scientist - Demand Forecasting,"New York, NY",$86K - $181K (Glassdoor est.),3.8,30d+,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 22:34,0,86,181,133.5,NY,27.0,New York
ViacomCBS,Data Scientist,"New York, NY",$81K - $164K (Glassdoor est.),3.7,11d,10000+ Employees,2019.0,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),http://www.viacbs.com/,07-10-2021 22:34,0,81,164,122.5,NY,2.0,New York
Healthfirst,"Data Scientist, Clinical","New York, NY",$69K - $137K (Glassdoor est.),3.4,6d,5001 to 10000 Employees,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,http://www.healthfirst.org/,07-10-2021 22:34,0,69,137,103.0,NY,28.0,New York
Citi,Data Scientist/Machine Learning Engineer,"New York, NY",$89K - $165K (Glassdoor est.),3.9,29d,10000+ Employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),http://www.citigroup.com/,07-10-2021 22:34,0,89,165,127.0,NY,209.0,New York
Tremor Video,Data Scientist,"New York, NY",$95K - $177K (Glassdoor est.),3.5,30d+,,,,,,,,07-10-2021 22:34,0,95,177,136.0,NY,,New York
NYC Careers,Geospatial Data Scientist,"New York, NY",$84K - $111K (Employer est.),4.0,7d,201 to 500 Employees,2005.0,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,http://www.tremorvideo.com/,07-10-2021 22:34,0,84,111,97.5,NY,16.0,New York
"Amazon Web Services, Inc.",Applied Scientist,"New York, NY",$82K - $168K (Glassdoor est.),3.8,24h,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 22:34,0,82,168,125.0,NY,27.0,New York
